"id","name","set_id","number","rarity","supertype","types","hp","evolvesFrom","artist","images_small","images_large"
"base1-14","Raichu","base1","14","Rare Holo","Pokémon","Lightning","80","Pikachu","Ken Sugimori","https://images.pokemontcg.io/base1/14.png","https://images.pokemontcg.io/base1/14_hires.png"
"base1-15","Venusaur","base1","15","Rare Holo","Pokémon","Grass","100","Ivysaur","Mitsuhiro Arita","https://images.pokemontcg.io/base1/15.png","https://images.pokemontcg.io/base1/15_hires.png"
"base1-16","Zapdos","base1","16","Rare Holo","Pokémon","Lightning","90","","Ken Sugimori","https://images.pokemontcg.io/base1/16.png","https://images.pokemontcg.io/base1/16_hires.png"
"base1-17","Beedrill","base1","17","Rare","Pokémon","Grass","80","Kakuna","Ken Sugimori","https://images.pokemontcg.io/base1/17.png","https://images.pokemontcg.io/base1/17_hires.png"
"base1-18","Dragonair","base1","18","Rare","Pokémon","Colorless","80","Dratini","Mitsuhiro Arita","https://images.pokemontcg.io/base1/18.png","https://images.pokemontcg.io/base1/18_hires.png"
"base1-19","Dugtrio","base1","19","Rare","Pokémon","Fighting","70","Diglett","Keiji Kinebuchi","https://images.pokemontcg.io/base1/19.png","https://images.pokemontcg.io/base1/19_hires.png"
"base1-20","Electabuzz","base1","20","Rare","Pokémon","Lightning","70","","Ken Sugimori","https://images.pokemontcg.io/base1/20.png","https://images.pokemontcg.io/base1/20_hires.png"
"base1-21","Electrode","base1","21","Rare","Pokémon","Lightning","80","Voltorb","Keiji Kinebuchi","https://images.pokemontcg.io/base1/21.png","https://images.pokemontcg.io/base1/21_hires.png"
"base1-22","Pidgeotto","base1","22","Rare","Pokémon","Colorless","60","Pidgey","Ken Sugimori","https://images.pokemontcg.io/base1/22.png","https://images.pokemontcg.io/base1/22_hires.png"
"base1-23","Arcanine","base1","23","Uncommon","Pokémon","Fire","100","Growlithe","Ken Sugimori","https://images.pokemontcg.io/base1/23.png","https://images.pokemontcg.io/base1/23_hires.png"
"base1-24","Charmeleon","base1","24","Uncommon","Pokémon","Fire","80","Charmander","Mitsuhiro Arita","https://images.pokemontcg.io/base1/24.png","https://images.pokemontcg.io/base1/24_hires.png"
"base1-25","Dewgong","base1","25","Uncommon","Pokémon","Water","80","Seel","Mitsuhiro Arita","https://images.pokemontcg.io/base1/25.png","https://images.pokemontcg.io/base1/25_hires.png"
"base1-26","Dratini","base1","26","Uncommon","Pokémon","Colorless","40","","Ken Sugimori","https://images.pokemontcg.io/base1/26.png","https://images.pokemontcg.io/base1/26_hires.png"
"base1-27","Farfetch'd","base1","27","Uncommon","Pokémon","Colorless","50","","Ken Sugimori","https://images.pokemontcg.io/base1/27.png","https://images.pokemontcg.io/base1/27_hires.png"
"base1-28","Growlithe","base1","28","Uncommon","Pokémon","Fire","60","","Ken Sugimori","https://images.pokemontcg.io/base1/28.png","https://images.pokemontcg.io/base1/28_hires.png"
"base1-29","Haunter","base1","29","Uncommon","Pokémon","Psychic","60","Gastly","Keiji Kinebuchi","https://images.pokemontcg.io/base1/29.png","https://images.pokemontcg.io/base1/29_hires.png"
"base1-30","Ivysaur","base1","30","Uncommon","Pokémon","Grass","60","Bulbasaur","Ken Sugimori","https://images.pokemontcg.io/base1/30.png","https://images.pokemontcg.io/base1/30_hires.png"
"base1-31","Jynx","base1","31","Uncommon","Pokémon","Psychic","70","","Ken Sugimori","https://images.pokemontcg.io/base1/31.png","https://images.pokemontcg.io/base1/31_hires.png"
"base1-32","Kadabra","base1","32","Uncommon","Pokémon","Psychic","60","Abra","Ken Sugimori","https://images.pokemontcg.io/base1/32.png","https://images.pokemontcg.io/base1/32_hires.png"
"base1-33","Kakuna","base1","33","Uncommon","Pokémon","Grass","80","Weedle","Keiji Kinebuchi","https://images.pokemontcg.io/base1/33.png","https://images.pokemontcg.io/base1/33_hires.png"
"base1-34","Machoke","base1","34","Uncommon","Pokémon","Fighting","80","Machop","Ken Sugimori","https://images.pokemontcg.io/base1/34.png","https://images.pokemontcg.io/base1/34_hires.png"
"base1-35","Magikarp","base1","35","Uncommon","Pokémon","Water","30","","Mitsuhiro Arita","https://images.pokemontcg.io/base1/35.png","https://images.pokemontcg.io/base1/35_hires.png"
"base1-36","Magmar","base1","36","Uncommon","Pokémon","Fire","50","","Ken Sugimori","https://images.pokemontcg.io/base1/36.png","https://images.pokemontcg.io/base1/36_hires.png"
"base1-37","Nidorino","base1","37","Uncommon","Pokémon","Grass","60","Nidoran ♂","Mitsuhiro Arita","https://images.pokemontcg.io/base1/37.png","https://images.pokemontcg.io/base1/37_hires.png"
"base1-38","Poliwhirl","base1","38","Uncommon","Pokémon","Water","60","Poliwag","Ken Sugimori","https://images.pokemontcg.io/base1/38.png","https://images.pokemontcg.io/base1/38_hires.png"
"base1-39","Porygon","base1","39","Uncommon","Pokémon","Colorless","30","","Tomoaki Imakuni","https://images.pokemontcg.io/base1/39.png","https://images.pokemontcg.io/base1/39_hires.png"
"base1-40","Raticate","base1","40","Uncommon","Pokémon","Colorless","60","Rattata","Ken Sugimori","https://images.pokemontcg.io/base1/40.png","https://images.pokemontcg.io/base1/40_hires.png"
"base1-41","Seel","base1","41","Uncommon","Pokémon","Water","60","","Ken Sugimori","https://images.pokemontcg.io/base1/41.png","https://images.pokemontcg.io/base1/41_hires.png"
"base1-42","Wartortle","base1","42","Uncommon","Pokémon","Water","70","Squirtle","Ken Sugimori","https://images.pokemontcg.io/base1/42.png","https://images.pokemontcg.io/base1/42_hires.png"
"base1-43","Abra","base1","43","Common","Pokémon","Psychic","30","","Mitsuhiro Arita","https://images.pokemontcg.io/base1/43.png","https://images.pokemontcg.io/base1/43_hires.png"
"base1-44","Bulbasaur","base1","44","Common","Pokémon","Grass","40","","Mitsuhiro Arita","https://images.pokemontcg.io/base1/44.png","https://images.pokemontcg.io/base1/44_hires.png"
"base1-45","Caterpie","base1","45","Common","Pokémon","Grass","40","","Ken Sugimori","https://images.pokemontcg.io/base1/45.png","https://images.pokemontcg.io/base1/45_hires.png"
"base1-46","Charmander","base1","46","Common","Pokémon","Fire","50","","Mitsuhiro Arita","https://images.pokemontcg.io/base1/46.png","https://images.pokemontcg.io/base1/46_hires.png"
"base1-47","Diglett","base1","47","Common","Pokémon","Fighting","30","","Keiji Kinebuchi","https://images.pokemontcg.io/base1/47.png","https://images.pokemontcg.io/base1/47_hires.png"
"base1-48","Doduo","base1","48","Common","Pokémon","Colorless","50","","Mitsuhiro Arita","https://images.pokemontcg.io/base1/48.png","https://images.pokemontcg.io/base1/48_hires.png"
"base1-49","Drowzee","base1","49","Common","Pokémon","Psychic","50","","Ken Sugimori","https://images.pokemontcg.io/base1/49.png","https://images.pokemontcg.io/base1/49_hires.png"
"base1-50","Gastly","base1","50","Common","Pokémon","Psychic","30","","Keiji Kinebuchi","https://images.pokemontcg.io/base1/50.png","https://images.pokemontcg.io/base1/50_hires.png"
"base1-51","Koffing","base1","51","Common","Pokémon","Grass","50","","Mitsuhiro Arita","https://images.pokemontcg.io/base1/51.png","https://images.pokemontcg.io/base1/51_hires.png"
"base1-52","Machop","base1","52","Common","Pokémon","Fighting","50","","Mitsuhiro Arita","https://images.pokemontcg.io/base1/52.png","https://images.pokemontcg.io/base1/52_hires.png"
"base1-53","Magnemite","base1","53","Common","Pokémon","Lightning","40","","Keiji Kinebuchi","https://images.pokemontcg.io/base1/53.png","https://images.pokemontcg.io/base1/53_hires.png"
"base1-54","Metapod","base1","54","Common","Pokémon","Grass","70","Caterpie","Ken Sugimori","https://images.pokemontcg.io/base1/54.png","https://images.pokemontcg.io/base1/54_hires.png"
"base1-55","Nidoran ♂","base1","55","Common","Pokémon","Grass","40","","Ken Sugimori","https://images.pokemontcg.io/base1/55.png","https://images.pokemontcg.io/base1/55_hires.png"
"base1-56","Onix","base1","56","Common","Pokémon","Fighting","90","","Ken Sugimori","https://images.pokemontcg.io/base1/56.png","https://images.pokemontcg.io/base1/56_hires.png"
"base1-57","Pidgey","base1","57","Common","Pokémon","Colorless","40","","Ken Sugimori","https://images.pokemontcg.io/base1/57.png","https://images.pokemontcg.io/base1/57_hires.png"
"base1-58","Pikachu","base1","58","Common","Pokémon","Lightning","40","","Mitsuhiro Arita","https://images.pokemontcg.io/base1/58.png","https://images.pokemontcg.io/base1/58_hires.png"
"base1-59","Poliwag","base1","59","Common","Pokémon","Water","40","","Ken Sugimori","https://images.pokemontcg.io/base1/59.png","https://images.pokemontcg.io/base1/59_hires.png"
"base1-60","Ponyta","base1","60","Common","Pokémon","Fire","40","","Ken Sugimori","https://images.pokemontcg.io/base1/60.png","https://images.pokemontcg.io/base1/60_hires.png"
"base1-61","Rattata","base1","61","Common","Pokémon","Colorless","30","","Mitsuhiro Arita","https://images.pokemontcg.io/base1/61.png","https://images.pokemontcg.io/base1/61_hires.png"
"base1-62","Sandshrew","base1","62","Common","Pokémon","Fighting","40","","Ken Sugimori","https://images.pokemontcg.io/base1/62.png","https://images.pokemontcg.io/base1/62_hires.png"
"base1-63","Squirtle","base1","63","Common","Pokémon","Water","40","","Mitsuhiro Arita","https://images.pokemontcg.io/base1/63.png","https://images.pokemontcg.io/base1/63_hires.png"
"base1-64","Starmie","base1","64","Common","Pokémon","Water","60","Staryu","Keiji Kinebuchi","https://images.pokemontcg.io/base1/64.png","https://images.pokemontcg.io/base1/64_hires.png"
"base1-65","Staryu","base1","65","Common","Pokémon","Water","40","","Keiji Kinebuchi","https://images.pokemontcg.io/base1/65.png","https://images.pokemontcg.io/base1/65_hires.png"
"base1-66","Tangela","base1","66","Common","Pokémon","Grass","50","","Mitsuhiro Arita","https://images.pokemontcg.io/base1/66.png","https://images.pokemontcg.io/base1/66_hires.png"
"base1-67","Voltorb","base1","67","Common","Pokémon","Lightning","40","","Keiji Kinebuchi","https://images.pokemontcg.io/base1/67.png","https://images.pokemontcg.io/base1/67_hires.png"
"base1-68","Vulpix","base1","68","Common","Pokémon","Fire","50","","Ken Sugimori","https://images.pokemontcg.io/base1/68.png","https://images.pokemontcg.io/base1/68_hires.png"
"base1-69","Weedle","base1","69","Common","Pokémon","Grass","40","","Mitsuhiro Arita","https://images.pokemontcg.io/base1/69.png","https://images.pokemontcg.io/base1/69_hires.png"
"base1-70","Clefairy Doll","base1","70","Rare","Trainer","","10","","Keiji Kinebuchi","https://images.pokemontcg.io/base1/70.png","https://images.pokemontcg.io/base1/70_hires.png"
"base1-71","Computer Search","base1","71","Rare","Trainer","","","","Keiji Kinebuchi","https://images.pokemontcg.io/base1/71.png","https://images.pokemontcg.io/base1/71_hires.png"
"base1-72","Devolution Spray","base1","72","Rare","Trainer","","","","Keiji Kinebuchi","https://images.pokemontcg.io/base1/72.png","https://images.pokemontcg.io/base1/72_hires.png"
"base1-73","Impostor Professor Oak","base1","73","Rare","Trainer","","","","Ken Sugimori","https://images.pokemontcg.io/base1/73.png","https://images.pokemontcg.io/base1/73_hires.png"
"base1-74","Item Finder","base1","74","Rare","Trainer","","","","Keiji Kinebuchi","https://images.pokemontcg.io/base1/74.png","https://images.pokemontcg.io/base1/74_hires.png"
"base1-75","Lass","base1","75","Rare","Trainer","","","","Ken Sugimori","https://images.pokemontcg.io/base1/75.png","https://images.pokemontcg.io/base1/75_hires.png"
"base1-76","Pokémon Breeder","base1","76","Rare","Trainer","","","","Ken Sugimori","https://images.pokemontcg.io/base1/76.png","https://images.pokemontcg.io/base1/76_hires.png"
"base1-77","Pokémon Trader","base1","77","Rare","Trainer","","","","Ken Sugimori","https://images.pokemontcg.io/base1/77.png","https://images.pokemontcg.io/base1/77_hires.png"
"base1-78","Scoop Up","base1","78","Rare","Trainer","","","","Keiji Kinebuchi","https://images.pokemontcg.io/base1/78.png","https://images.pokemontcg.io/base1/78_hires.png"
"base1-79","Super Energy Removal","base1","79","Rare","Trainer","","","","Keiji Kinebuchi","https://images.pokemontcg.io/base1/79.png","https://images.pokemontcg.io/base1/79_hires.png"
"base1-80","Defender","base1","80","Uncommon","Trainer","","","","Keiji Kinebuchi","https://images.pokemontcg.io/base1/80.png","https://images.pokemontcg.io/base1/80_hires.png"
"base1-81","Energy Retrieval","base1","81","Uncommon","Trainer","","","","Keiji Kinebuchi","https://images.pokemontcg.io/base1/81.png","https://images.pokemontcg.io/base1/81_hires.png"
"base1-82","Full Heal","base1","82","Uncommon","Trainer","","","","Keiji Kinebuchi","https://images.pokemontcg.io/base1/82.png","https://images.pokemontcg.io/base1/82_hires.png"
"base1-83","Maintenance","base1","83","Uncommon","Trainer","","","","Keiji Kinebuchi","https://images.pokemontcg.io/base1/83.png","https://images.pokemontcg.io/base1/83_hires.png"
"base1-84","PlusPower","base1","84","Uncommon","Trainer","","","","Keiji Kinebuchi","https://images.pokemontcg.io/base1/84.png","https://images.pokemontcg.io/base1/84_hires.png"
"base1-85","Pokémon Center","base1","85","Uncommon","Trainer","","","","Keiji Kinebuchi","https://images.pokemontcg.io/base1/85.png","https://images.pokemontcg.io/base1/85_hires.png"
"base1-86","Pokémon Flute","base1","86","Uncommon","Trainer","","","","Keiji Kinebuchi","https://images.pokemontcg.io/base1/86.png","https://images.pokemontcg.io/base1/86_hires.png"
"base1-87","Pokédex","base1","87","Uncommon","Trainer","","","","Keiji Kinebuchi","https://images.pokemontcg.io/base1/87.png","https://images.pokemontcg.io/base1/87_hires.png"
"base1-88","Professor Oak","base1","88","Uncommon","Trainer","","","","Ken Sugimori","https://images.pokemontcg.io/base1/88.png","https://images.pokemontcg.io/base1/88_hires.png"
"base1-89","Revive","base1","89","Uncommon","Trainer","","","","Keiji Kinebuchi","https://images.pokemontcg.io/base1/89.png","https://images.pokemontcg.io/base1/89_hires.png"
"base1-90","Super Potion","base1","90","Uncommon","Trainer","","","","Keiji Kinebuchi","https://images.pokemontcg.io/base1/90.png","https://images.pokemontcg.io/base1/90_hires.png"
"base1-91","Bill","base1","91","Common","Trainer","","","","Ken Sugimori","https://images.pokemontcg.io/base1/91.png","https://images.pokemontcg.io/base1/91_hires.png"
"base1-92","Energy Removal","base1","92","Common","Trainer","","","","Keiji Kinebuchi","https://images.pokemontcg.io/base1/92.png","https://images.pokemontcg.io/base1/92_hires.png"
"base1-93","Gust of Wind","base1","93","Common","Trainer","","","","Keiji Kinebuchi","https://images.pokemontcg.io/base1/93.png","https://images.pokemontcg.io/base1/93_hires.png"
"base1-94","Potion","base1","94","Common","Trainer","","","","Keiji Kinebuchi","https://images.pokemontcg.io/base1/94.png","https://images.pokemontcg.io/base1/94_hires.png"
"base1-95","Switch","base1","95","Common","Trainer","","","","Keiji Kinebuchi","https://images.pokemontcg.io/base1/95.png","https://images.pokemontcg.io/base1/95_hires.png"
"base1-96","Double Colorless Energy","base1","96","Uncommon","Energy","","","","Keiji Kinebuchi","https://images.pokemontcg.io/base1/96.png","https://images.pokemontcg.io/base1/96_hires.png"
"base1-97","Fighting Energy","base1","97",,"Energy","","","","Keiji Kinebuchi","https://images.pokemontcg.io/base1/97.png","https://images.pokemontcg.io/base1/97_hires.png"
"base1-98","Fire Energy","base1","98",,"Energy","","","","Keiji Kinebuchi","https://images.pokemontcg.io/base1/98.png","https://images.pokemontcg.io/base1/98_hires.png"
"base1-99","Grass Energy","base1","99",,"Energy","","","","Keiji Kinebuchi","https://images.pokemontcg.io/base1/99.png","https://images.pokemontcg.io/base1/99_hires.png"
"base1-100","Lightning Energy","base1","100",,"Energy","","","","Keiji Kinebuchi","https://images.pokemontcg.io/base1/100.png","https://images.pokemontcg.io/base1/100_hires.png"
"base1-101","Psychic Energy","base1","101",,"Energy","","","","Keiji Kinebuchi","https://images.pokemontcg.io/base1/101.png","https://images.pokemontcg.io/base1/101_hires.png"
"base1-102","Water Energy","base1","102",,"Energy","","","","Keiji Kinebuchi","https://images.pokemontcg.io/base1/102.png","https://images.pokemontcg.io/base1/102_hires.png"
"base2-1","Clefable","base2","1","Rare Holo","Pokémon","Colorless","70","Clefairy","Mitsuhiro Arita","https://images.pokemontcg.io/base2/1.png","https://images.pokemontcg.io/base2/1_hires.png"
"base2-2","Electrode","base2","2","Rare Holo","Pokémon","Lightning","90","Voltorb","Mitsuhiro Arita","https://images.pokemontcg.io/base2/2.png","https://images.pokemontcg.io/base2/2_hires.png"
"base2-3","Flareon","base2","3","Rare Holo","Pokémon","Fire","70","Eevee","Kagemaru Himeno","https://images.pokemontcg.io/base2/3.png","https://images.pokemontcg.io/base2/3_hires.png"
"base2-4","Jolteon","base2","4","Rare Holo","Pokémon","Lightning","70","Eevee","Kagemaru Himeno","https://images.pokemontcg.io/base2/4.png","https://images.pokemontcg.io/base2/4_hires.png"
"base2-5","Kangaskhan","base2","5","Rare Holo","Pokémon","Colorless","90","","Mitsuhiro Arita","https://images.pokemontcg.io/base2/5.png","https://images.pokemontcg.io/base2/5_hires.png"
"base2-6","Mr. Mime","base2","6","Rare Holo","Pokémon","Psychic","40","","Ken Sugimori","https://images.pokemontcg.io/base2/6.png","https://images.pokemontcg.io/base2/6_hires.png"
"base2-7","Nidoqueen","base2","7","Rare Holo","Pokémon","Grass","90","Nidorina","Ken Sugimori","https://images.pokemontcg.io/base2/7.png","https://images.pokemontcg.io/base2/7_hires.png"
"base2-8","Pidgeot","base2","8","Rare Holo","Pokémon","Colorless","80","Pidgeotto","Kagemaru Himeno","https://images.pokemontcg.io/base2/8.png","https://images.pokemontcg.io/base2/8_hires.png"
"base2-9","Pinsir","base2","9","Rare Holo","Pokémon","Grass","60","","Kagemaru Himeno","https://images.pokemontcg.io/base2/9.png","https://images.pokemontcg.io/base2/9_hires.png"
"base2-10","Scyther","base2","10","Rare Holo","Pokémon","Grass","70","","Ken Sugimori","https://images.pokemontcg.io/base2/10.png","https://images.pokemontcg.io/base2/10_hires.png"
"base2-11","Snorlax","base2","11","Rare Holo","Pokémon","Colorless","90","","Ken Sugimori","https://images.pokemontcg.io/base2/11.png","https://images.pokemontcg.io/base2/11_hires.png"
"base2-12","Vaporeon","base2","12","Rare Holo","Pokémon","Water","80","Eevee","Kagemaru Himeno","https://images.pokemontcg.io/base2/12.png","https://images.pokemontcg.io/base2/12_hires.png"
"base2-13","Venomoth","base2","13","Rare Holo","Pokémon","Grass","70","Venonat","Ken Sugimori","https://images.pokemontcg.io/base2/13.png","https://images.pokemontcg.io/base2/13_hires.png"
"base2-14","Victreebel","base2","14","Rare Holo","Pokémon","Grass","80","Weepinbell","Ken Sugimori","https://images.pokemontcg.io/base2/14.png","https://images.pokemontcg.io/base2/14_hires.png"
"base2-15","Vileplume","base2","15","Rare Holo","Pokémon","Grass","80","Gloom","Keiji Kinebuchi","https://images.pokemontcg.io/base2/15.png","https://images.pokemontcg.io/base2/15_hires.png"
"base2-16","Wigglytuff","base2","16","Rare Holo","Pokémon","Colorless","80","Jigglypuff","Mitsuhiro Arita","https://images.pokemontcg.io/base2/16.png","https://images.pokemontcg.io/base2/16_hires.png"
"base2-17","Clefable","base2","17","Rare","Pokémon","Colorless","70","Clefairy","Mitsuhiro Arita","https://images.pokemontcg.io/base2/17.png","https://images.pokemontcg.io/base2/17_hires.png"
"base2-18","Electrode","base2","18","Rare","Pokémon","Lightning","90","Voltorb","Mitsuhiro Arita","https://images.pokemontcg.io/base2/18.png","https://images.pokemontcg.io/base2/18_hires.png"
"base2-19","Flareon","base2","19","Rare","Pokémon","Fire","70","Eevee","Kagemaru Himeno","https://images.pokemontcg.io/base2/19.png","https://images.pokemontcg.io/base2/19_hires.png"
"base2-20","Jolteon","base2","20","Rare","Pokémon","Lightning","70","Eevee","Kagemaru Himeno","https://images.pokemontcg.io/base2/20.png","https://images.pokemontcg.io/base2/20_hires.png"
"base2-21","Kangaskhan","base2","21","Rare","Pokémon","Colorless","90","","Mitsuhiro Arita","https://images.pokemontcg.io/base2/21.png","https://images.pokemontcg.io/base2/21_hires.png"
"base2-22","Mr. Mime","base2","22","Rare","Pokémon","Psychic","40","","Ken Sugimori","https://images.pokemontcg.io/base2/22.png","https://images.pokemontcg.io/base2/22_hires.png"
"base2-23","Nidoqueen","base2","23","Rare","Pokémon","Grass","90","Nidorina","Ken Sugimori","https://images.pokemontcg.io/base2/23.png","https://images.pokemontcg.io/base2/23_hires.png"
"base2-24","Pidgeot","base2","24","Rare","Pokémon","Colorless","80","Pidgeotto","Kagemaru Himeno","https://images.pokemontcg.io/base2/24.png","https://images.pokemontcg.io/base2/24_hires.png"
"base2-25","Pinsir","base2","25","Rare","Pokémon","Grass","60","","Kagemaru Himeno","https://images.pokemontcg.io/base2/25.png","https://images.pokemontcg.io/base2/25_hires.png"
"base2-26","Scyther","base2","26","Rare","Pokémon","Grass","70","","Ken Sugimori","https://images.pokemontcg.io/base2/26.png","https://images.pokemontcg.io/base2/26_hires.png"
"base2-27","Snorlax","base2","27","Rare","Pokémon","Colorless","90","","Ken Sugimori","https://images.pokemontcg.io/base2/27.png","https://images.pokemontcg.io/base2/27_hires.png"
"base2-28","Vaporeon","base2","28","Rare","Pokémon","Water","80","Eevee","Kagemaru Himeno","https://images.pokemontcg.io/base2/28.png","https://images.pokemontcg.io/base2/28_hires.png"
"base2-29","Venomoth","base2","29","Rare","Pokémon","Grass","70","Venonat","Ken Sugimori","https://images.pokemontcg.io/base2/29.png","https://images.pokemontcg.io/base2/29_hires.png"
"base2-30","Victreebel","base2","30","Rare","Pokémon","Grass","80","Weepinbell","Ken Sugimori","https://images.pokemontcg.io/base2/30.png","https://images.pokemontcg.io/base2/30_hires.png"
"base2-31","Vileplume","base2","31","Rare","Pokémon","Grass","80","Gloom","Keiji Kinebuchi","https://images.pokemontcg.io/base2/31.png","https://images.pokemontcg.io/base2/31_hires.png"
"base2-32","Wigglytuff","base2","32","Rare","Pokémon","Colorless","80","Jigglypuff","Mitsuhiro Arita","https://images.pokemontcg.io/base2/32.png","https://images.pokemontcg.io/base2/32_hires.png"
"base2-33","Butterfree","base2","33","Uncommon","Pokémon","Grass","70","Metapod","Kagemaru Himeno","https://images.pokemontcg.io/base2/33.png","https://images.pokemontcg.io/base2/33_hires.png"
"base2-34","Dodrio","base2","34","Uncommon","Pokémon","Colorless","70","Doduo","Mitsuhiro Arita","https://images.pokemontcg.io/base2/34.png","https://images.pokemontcg.io/base2/34_hires.png"
"base2-35","Exeggutor","base2","35","Uncommon","Pokémon","Grass","80","Exeggcute","Kagemaru Himeno","https://images.pokemontcg.io/base2/35.png","https://images.pokemontcg.io/base2/35_hires.png"
"base2-36","Fearow","base2","36","Uncommon","Pokémon","Colorless","70","Spearow","Mitsuhiro Arita","https://images.pokemontcg.io/base2/36.png","https://images.pokemontcg.io/base2/36_hires.png"
"base2-37","Gloom","base2","37","Uncommon","Pokémon","Grass","60","Oddish","Keiji Kinebuchi","https://images.pokemontcg.io/base2/37.png","https://images.pokemontcg.io/base2/37_hires.png"
"base2-38","Lickitung","base2","38","Uncommon","Pokémon","Colorless","90","","Mitsuhiro Arita","https://images.pokemontcg.io/base2/38.png","https://images.pokemontcg.io/base2/38_hires.png"
"base2-39","Marowak","base2","39","Uncommon","Pokémon","Fighting","60","Cubone","Mitsuhiro Arita","https://images.pokemontcg.io/base2/39.png","https://images.pokemontcg.io/base2/39_hires.png"
"base2-40","Nidorina","base2","40","Uncommon","Pokémon","Grass","70","Nidoran ♀","Ken Sugimori","https://images.pokemontcg.io/base2/40.png","https://images.pokemontcg.io/base2/40_hires.png"
"base2-41","Parasect","base2","41","Uncommon","Pokémon","Grass","60","Paras","Ken Sugimori","https://images.pokemontcg.io/base2/41.png","https://images.pokemontcg.io/base2/41_hires.png"
"base2-42","Persian","base2","42","Uncommon","Pokémon","Colorless","70","Meowth","Kagemaru Himeno","https://images.pokemontcg.io/base2/42.png","https://images.pokemontcg.io/base2/42_hires.png"
"base2-43","Primeape","base2","43","Uncommon","Pokémon","Fighting","70","Mankey","Kagemaru Himeno","https://images.pokemontcg.io/base2/43.png","https://images.pokemontcg.io/base2/43_hires.png"
"base2-44","Rapidash","base2","44","Uncommon","Pokémon","Fire","70","Ponyta","Mitsuhiro Arita","https://images.pokemontcg.io/base2/44.png","https://images.pokemontcg.io/base2/44_hires.png"
"base2-45","Rhydon","base2","45","Uncommon","Pokémon","Fighting","100","Rhyhorn","Kagemaru Himeno","https://images.pokemontcg.io/base2/45.png","https://images.pokemontcg.io/base2/45_hires.png"
"base2-46","Seaking","base2","46","Uncommon","Pokémon","Water","70","Goldeen","Kagemaru Himeno","https://images.pokemontcg.io/base2/46.png","https://images.pokemontcg.io/base2/46_hires.png"
"base2-47","Tauros","base2","47","Uncommon","Pokémon","Colorless","60","","Kagemaru Himeno","https://images.pokemontcg.io/base2/47.png","https://images.pokemontcg.io/base2/47_hires.png"
"base2-48","Weepinbell","base2","48","Uncommon","Pokémon","Grass","70","Bellsprout","Kagemaru Himeno","https://images.pokemontcg.io/base2/48.png","https://images.pokemontcg.io/base2/48_hires.png"
"base2-49","Bellsprout","base2","49","Common","Pokémon","Grass","40","","Kagemaru Himeno","https://images.pokemontcg.io/base2/49.png","https://images.pokemontcg.io/base2/49_hires.png"
"base2-50","Cubone","base2","50","Common","Pokémon","Fighting","40","","Mitsuhiro Arita","https://images.pokemontcg.io/base2/50.png","https://images.pokemontcg.io/base2/50_hires.png"
